Dado,Formato,Temos info?,Dado enviado para HubSpot?,Dado de Contato ou Empresa,Propriedade na Hubspot,Tempo do Dado,Prioridade de envio,Agrupamento,Observação Sabrina,Metabase
Desconto no Pix ativado,Flag,Sim,"Sim ",Empresa,desconto_no_pix_ativo,D-1,Baixo,,,
Finalizou configuracao Enviali,Flag,Sim,"Sim ",Empresa,finalizou_configuracao_enviali,Tempo Real,Essencial,,,
Economia Enviali no último mês fechado,Número,Sim,Não,Empresa,economia_enviali,Tempo Real,Essencial,,,
Primeira venda enviali - Data,Data,Sim,"Sim ",Empresa,primeira_venda_enviali_data,Tempo Real,Essencial,,,
Primeira venda enviali - Status,Texto,Sim,"Sim ",Empresa,primeira_venda_enviali_status,Tempo Real,Essencial,,,
Segunda venda enviali - Data,Data,Sim,"Sim ",Empresa,segunda_venda_enviali_data,Tempo Real,Essencial,,,
Segunda venda enviali - Status,Texto,Sim,"Sim ",Empresa,segunda_venda_enviali_status,Tempo Real,Essencial,,,
Quinta venda enviali - Data,Data,Sim,"Sim ",Empresa,quinta_venda_enviali_data,Tempo Real,Essencial,,,
Quinta venda enviali - Status,Texto,Sim,"Sim ",Empresa,quinta_venda_enviali_status,Tempo Real,Essencial,,,
Decima venda enviali - Data,Data,Sim,"Sim ",Empresa,decima_venda_enviali_data,Tempo Real,Essencial,,,
Decima venda enviali - Status,Texto,Sim,"Sim ",Empresa,decima_venda_enviali_status,Tempo Real,Essencial,,,
sizebay Ativo,Flag,Sim,"Sim ",Empresa,sizebay_ativo,D-1,Baixo,,,
Visitas 30 dias,Número,Sim,"Sim ",Empresa,visitas_30d,D-1,Médio,,,
Visitas 60 dias,Flag,Sim,"Sim ",Empresa,visitas_60d,D-1,Essencial,,,
Usa Jadlog no Enviali,Flag,Sim,"Sim ",Empresa,usa_jadlog_enviali,D-1,,,,
"Hub Integrador ",Flag,Sim,Não,Empresa,,D-1,Essencial,,"Essa propriedade é configurada a partir de informações enviadas para a hubspot. Foi criada por fluxo, considerando configuração dos hubs ",
"Vendas 90 dias ",Flag,Sim,Não,Empresa,,D-1,Baixo,,"Essa propriedade é configurada a partir de informações enviadas para a hubspot. Foi criada por fluxo, considerando se tem GMV 90 dias maior que zero",
data evento conectar magalu,Data,Sim,"Sim ",Empresa,data_evento_conectar_magalu,Tempo Real,Essencial,,,
data evento tenhoconta magalu,Data,Sim,"Sim ",Empresa,data_evento_tenhoconta_magalu,Tempo Real,Essencial,,,
data evento criarconta magalu,Data,Sim,"Sim ",Empresa,data_evento_criarconta_magalu,Tempo Real,Essencial,,,
data configuracao magalu,Data,Sim,"Sim ",Empresa,data_configuracao_magalu,Tempo Real,Essencial,,,
data vendeu magalu,Data,Sim,"Sim ",Empresa,data_vendeu_magalu,Tempo Real,Essencial,,,
flag token magalu,Flag,Sim,"Sim ",Empresa,flag_token_magalu,Tempo Real,Essencial,,,
flag selecao produtos magalu,Flag,Sim,"Sim ",Empresa,flag_selecao_produtos_magalu,Tempo Real,Essencial,,,
flag publicacao oferta magalu,Flag,Sim,"Sim ",Empresa,flag_publicacao_oferta_magalu,Tempo Real,Essencial,,,
"Telefone Cobrança ",Número,Sim,Não,Contato,telefone_de_cobranca,D-1,,,,
qtde_visitas_60d,Número,Sim,"Sim ",Empresa,visitas_90d,D-1,Essencial,,,
qtde_visitas_90d,Número,Sim,"Sim ",Empresa,visitas_60d,D-1,Essencial,,,
flag_ativo_gofretes,Flag,Sim,"Sim ",Empresa,go_fretes,D-1,Baixo,,,
flag_pac_contrato,Flag,Sim,"Sim ",Empresa,flag_pac_contrato,D-1,Baixo,,,
economia_enviali,Número,Sim,"Sim ",Empresa,economia_enviali,D-1,Baixo,,,
data_da_ultima_emissao_de_etiqueta_enviali,Data,Sim,"Sim ",Empresa,data_da_ultima_emissao_de_etiqueta_enviali,D-1,Essencial,,,
data_ultimo_pedido_enviali,Data,Sim,"Sim ",Empresa,data_ultimo_pedido_enviali,D-1,Essencial,,,
pagali_cartao,Flag,Sim,"Sim ",Empresa,pagali_cartao,D-1,Essencial,,,
qtde_pedido_30d,Número,Sim,"Sim ",Empresa,qtde_pedido_30d,D-1,Essencial,,,
qtde_pedido_60d,Número,Sim,"Sim ",Empresa,qtde_pedido_60d,D-1,Essencial,,,
qtde_pedido_90d,Número,Sim,"Sim ",Empresa,qtde_pedido_90d,D-1,Essencial,,,
forma_pagamento_assinatura_atual,Flag,Sim,"Sim ",Empresa,forma_pagamento_assinatura_atual,D-1,Essencial,,,
,Flag,Sim,"Sim ",Empresa,,D-1,Essencial,,,
,Flag,Sim,"Sim ",Empresa,,D-1,Essencial,,,
